Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748507918
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748507918
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748507918
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748507918
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748507918
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748507918
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748507918
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508010
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508010
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508010
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508010
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508010
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508010
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508010
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508031
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508031
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508031
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508031
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508031
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508031
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508031
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508114
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508114
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508114
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748508114
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508114
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508114
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508114
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508114
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508168
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508168
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508168
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748508168
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508168
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508168
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508168
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508169
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508296
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508296
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508296
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748508296
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508296
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508296
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508296
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508296
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508345
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508345
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508345
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748508345
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508345
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508345
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508345
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508345
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748508605
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748508605
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748508605
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748508605
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748508605
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748508605
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748508605
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748508605
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748509492
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748509492
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748509492
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748509492
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748509492
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748509492
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748509492
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748509492
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748509543
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748509543
Filtering session: ID=14, Date=2025-05-30, EndTime=03:35:00, Datetime=1748568900, Now=1748509543
Filtering session: ID=24, Date=2025-05-29, EndTime=11:50:00, Datetime=1748512200, Now=1748509543
Filtering session: ID=21, Date=2025-05-29, EndTime=21:44:00, Datetime=1748547840, Now=1748509543
Filtering session: ID=19, Date=2025-05-28, EndTime=18:19:00, Datetime=1748449140, Now=1748509543
Filtering session: ID=20, Date=2025-05-28, EndTime=15:36:00, Datetime=1748439360, Now=1748509543
Filtering session: ID=15, Date=2025-05-28, EndTime=04:00:00, Datetime=1748397600, Now=1748509543
Filtering session: ID=17, Date=2025-05-30, EndTime=10:55:00, Datetime=1748595300, Now=1748509833
Filtering session: ID=16, Date=2025-05-30, EndTime=07:59:00, Datetime=1748584740, Now=1748509833
